county,land_area_m2,land_area_mi2,pop_2020,pop_dens_2020,county_type,median_hh_income,p_foreign_born,p_child_poverty,p_single_parent_hh,p_broadband,p_home_ownership,p_family_sustaining_wage,p_edu_lths,p_edu_hsged,p_edu_scnd,p_edu_ndc,p_edu_assoc,p_edu_ba,p_edu_mapl,p_edu_hs_grad_rate,p_edu_chronic_absent_rate
Cherokee,1179845613,455.5409379852327,28774,63.16446580467982,Rural - Non-Metro,53926,0.01928280293941498,0.2286145240068436,0.1312682032585144,0.6050452589988708,0.836144745349884,0.4116731584072113,0.07822934538125992,0.3692043423652649,0.1324174702167511,0.07498569041490555,0.1236405298113823,0.1742033958435059,0.04731921479105949,0.9253731369972229,0.3932974934577942
Chowan,447179939,172.65713972717813,13708,79.39434199860204,Rural - Non-Metro,60808,0.01845953427255154,0.3788217604160309,0.1931875050067902,0.5977625846862793,0.6967774033546448,0.393401026725769,0.1424060612916946,0.3868013918399811,0.1272497624158859,0.07514998316764832,0.07041364163160324,0.1417745500802994,0.05620460957288742,0.8972602486610413,0.2978838980197906
Clay,556804503,214.98342052234364,11089,51.58072177406582,Rural - Non-Metro,53229,0.03801246732473373,0.05987688899040222,0.07181114703416824,0.6135687232017517,0.7982543110847473,0.5098039507865906,0.04874371737241745,0.2095477432012558,0.1065326631069183,0.07487437129020691,0.2080402076244354,0.244221106171608,0.1080401986837387,0.8787878751754761,0.2914728820323944
Cleveland,1202400603,464.24946831126573,99519,214.36535051296045,Rural - Non-Metro,61411,0.0295198168605566,0.2709680497646332,0.2104895412921906,0.6436401605606079,0.7065398693084717,0.430758148431778,0.1108722239732742,0.3251970708370209,0.1215800344944,0.07499683648347855,0.1300113797187805,0.1498672068119049,0.0874752327799797,0.838681697845459,0.2443540245294571
Columbus,2429722353,938.1210452738334,50623,53.96211955273146,Rural - Non-Metro,50837,0.02170336805284023,0.2613270878791809,0.2074686586856842,0.5719041228294373,0.7225776314735413,0.3688946068286896,0.1294244974851608,0.3457982838153839,0.1941367536783218,0.07503955811262131,0.1187640577554703,0.09369534254074097,0.04314149916172028,0.8638655543327332,0.330122709274292
Craven,1830014545,706.5725660802358,100720,142.54728365516897,Rural - Metro,61761,0.04078200086951256,0.1962664723396301,0.1624228358268738,0.7309027910232544,0.6994598507881165,0.4866151809692383,0.0680580735206604,0.2649727761745453,0.2030605524778366,0.07498762756586075,0.1363636404275894,0.163834348320961,0.08872298151254654,0.8075801730155945,0.2167719155550003
Cumberland,1690112815,652.5562061364058,334728,512.948918196375,Suburban,61511,0.0670647844672203,0.2335163801908493,0.2129911482334137,0.7843238115310669,0.5365522503852844,0.4157800078392029,0.05589395761489868,0.2343376278877258,0.2413690835237503,0.07499539852142334,0.1085583493113518,0.198188990354538,0.0866565853357315,0.8520603775978088,0.3347637057304382
Currituck,678341928,261.90928266462197,28100,107.28905716557742,Rural - Metro,86047,0.02647575363516808,0.1080955341458321,0.1286422610282898,0.7919456958770752,0.8750978708267212,0.6390125751495361,0.02716149017214775,0.3037514984607697,0.1384967118501663,0.07503025233745575,0.1066290140151978,0.267312079668045,0.08161893486976624,0.904477596282959,0.2436061352491379
Dare,992558307,383.22890486165204,36915,96.32624139697015,Rural - Non-Metro,79646,0.04947514086961746,0.1223466992378235,0.159619003534317,0.8509373068809509,0.7778317332267761,0.4815191030502319,0.06292732059955597,0.2301848530769348,0.149404913187027,0.07495568692684174,0.1093947812914848,0.2698151469230652,0.1033172979950905,0.9453303217887878,0.2852946817874908
Davidson,1432724907,553.178179261989,168930,305.38080917322947,Suburban,63551,0.05672763660550117,0.2120418846607208,0.169970229268074,0.7491096258163452,0.7352872490882874,0.4581944048404694,0.1094974502921104,0.2905319333076477,0.1855897307395935,0.07499020546674728,0.1141996458172798,0.1670503467321396,0.05814067274332047,0.8330658078193665,0.1645796746015549
