country,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Korea,4.8009965943,6.2658594933,4.4807410993,4.9245435426,4.4389318333,7.5135800812,0.8129572545,2.2591658063,4.0665758737,2.7622621133,3.5148745144,3.5906629791,2.7537916275,2.2423402942,2.5345738169,4.6738965511,2.7564965532,2.9392865264,4.0259650003,2.1870710406,1.3013475528,1.2747744568,0.7063317796,0.9716857399,1.9443323043,1.4758393466,0.3830003036,0.5372880268,2.49833333,5.089513654,3.5974562503,2.3217432834,2.1230942176
Latvia,108.9895519291,35.9247081232,24.9759324536,17.6104603899,8.4473927387,4.6442121464,2.3648148843,2.6542531504,2.4870437284,1.9388792688,2.9426433756,6.1923842457,6.7484515364,6.536199093,10.0929775849,15.4023191107,3.5341067248,-1.0846359537,4.3707356031,2.2577892472,-0.029454785,0.6204923234,0.1742414026,0.14063083,2.9303689978,2.5344597988,2.8114026301,0.2190610666,3.2758140912,17.3102894183,8.9380559769,1.2657977157,3.7457698179
Lithuania,410.4518589137,72.2546816622,39.647629029,24.6251953847,8.8810484729,5.0675538587,0.7275506315,0.9816154789,1.3671203034,0.2815066104,-1.1343085405,1.164102521,2.6584848405,3.7391200312,5.7371738327,10.9258856242,4.453044569,1.3192136132,4.1302756338,3.0899827704,1.0474793673,0.1037580094,-0.8840974022,0.9055250754,3.7228886229000002,2.6979277888,2.334509383,1.1998944498,4.6835442059,19.7050461518,9.1173196215,0.7157358396,3.7917051042
Luxembourg,3.5881044128,2.1947604088,1.8676978767,1.1838610404,1.3675113909,0.9585662686,1.0251941988,3.1507677382,2.6638223455,2.0740887269,2.0498404361,2.2256808154,2.4876927087,2.6663149459,2.312458618,3.4018796304,0.3680420054,2.2736791124,3.410683407,2.6628416587,1.7340396318,0.6285439888,0.4747431614,0.29083333,1.7307995979,1.5281952365,1.743320763,0.8199572958,2.5269200907,6.336008078,3.7414036228,2.0511326995,2.257238176
Mexico,9.7514603362,6.965813267,34.9992633411,34.3783842358,20.6256276245,15.9283923585,16.5856192206,9.4915599304,6.3677366725,5.0307325379,4.5468979404,4.6884071508,3.9880607381,3.6294632186,3.9668496289,5.1249816919,5.2973571229,4.1567278414,3.4073796158,4.1115085522,3.8063898148,4.0186172027,2.7206412598,2.8217077626,6.0414558179,4.8993509594,3.6359612213,3.3968341524,5.6892084799,7.8962761885,5.5279608759,NA,NA
Netherlands,2.5841816877,2.8015267162,1.9232197114,1.9493679005,2.1092456322,1.9591363132,2.1571791899,2.3605223334,4.1558412764,3.287531047,2.0919983816,1.2636473959,1.6881301827,1.1015010651,1.613858598,2.486501979,1.1897768665,1.275305703,2.3410701701,2.4555476566,2.5068985266,0.9760350763,0.6002481507,0.31666667,1.3814587107,1.7034979474,2.6336991057,1.2724603747,2.6757200912,10.001207875,3.8383935406,3.3475430396,3.2595766452
New Zealand,1.2882095762,1.7453761369,3.7549407792,2.2857142501,1.1871508232,1.2652403743,-0.1142662814,2.6152327886,2.6258206077,2.6770907142000002,1.7535763527,2.2902494233,3.0370206668,3.3654044615,2.3761433366,3.9589442513,2.1156558865,2.3020257678,4.0279027836,1.0599178031,1.1344178001,1.2275132656,0.2927033142,0.6462372203,1.8507870707,1.5982979499,1.6196319018,1.7145617001,3.9411206078,7.1722247602,5.7331628303,2.922797823,2.8397963181
Norway,2.2882693318,1.3756749704,2.4603677921,1.2625324916,2.566923359,2.2524133,2.3659673706,3.0855060866,3.0041970444,1.2867252841,2.4878255303,0.4544985064,1.5321336678,2.3293498117,0.7125890736,3.7539308137,2.1973858762,2.4189063947,1.2849515844,0.6968641115,2.1204862071,2.0417028635,2.1711366539,3.55,1.8751005987,2.7648313389,2.1677300331,1.2865849071,3.4838805587,5.7641231726,5.5178498712,3.1453013444,3.0556248492
Poland,2.7083333333,2.175,1.675,1.4416666667,1.0416666667,0.6833333333,0.7833333333,0.6916666667,0.3,0.0583333333,0.1416666667,0.3583333333,0.0583333333,0.1166666667,0.325,0.275,0.3,0.2583333333,0.3833333333,0.2083333333,0.0666666667,-0.075,-0.0583333333,0.075,0.1666666667,0.1,0.2666666667,0.1916666667,0.7,1.3,0.5,0.3833333333,0.1916666667
Portugal,6.7837799436,5.4204401899,4.2228161438,3.0689773217,2.3368629889,2.5727522568,2.3400949086,2.8530303973,4.3699033002,3.6003465772,3.2189909035,2.3653620483,2.2771639461,3.107665454,2.4539652881,2.5885065748,-0.8355300212,1.4025728979,3.6530109994,2.7733385412,0.2744166739,-0.2781533738,0.4879386304,0.60739707,1.3686141179,0.99371569,0.3381784086,-0.0124383341,1.2656571915,7.8326912415,4.3112819195,2.4161318718,2.3360162093
Slovak Republic,23.2870313664,13.4155184982,9.8410975741,5.7758324686,6.1419878333,6.6656474429,10.5704457626,12.0357767709,7.329630924,3.1271331568,8.5541430646,7.5485008789,2.7090849445,4.4833312121,2.7567237043,4.5981797686,1.615104644,0.9570181333,3.9192859915,3.6061026296,1.4004736929,-0.0761653318,-0.3252197799,-0.52001019,1.3119458823,2.5140371266,2.6645613276,1.9369412772,3.1496062974,12.7741463539,10.5319476702,2.7576090922,4.000428235
Slovenia,31.7621274191,20.9918161813,13.4637240068,9.8644566102,8.3596794388,7.8911656947,6.1555876886,8.9117450622,8.3796658754,7.4807777123,5.544164213,3.592975947,2.451501319,2.4579244461,3.6574956289,5.647423806,0.8392622504,1.8011702214,1.802851723,2.5974138568,1.7692008622,0.1993438266,-0.5255522924,-0.0549995417,1.4291074399,1.7386086198,1.630522601,-0.0548568158,1.9170650673,8.833698861,7.4468771798,1.9656265589,2.3728480776
Spain,4.5690722737,4.7184132289,4.6738036374,3.5588429597,1.9710778902,1.8343304777,2.3103455118,3.4335167613,3.5898335627,3.0656565603,3.0388883988,3.0392488064,3.3688140977,3.5155757727,2.786797458,4.0753433636,-0.2878130874,1.7998645734,3.1961018885,2.4461278311,1.4085810918,-0.1511148446,-0.5003657099,-0.2025980004,1.9560763337,1.6749813687,0.6995189945,-0.3227530139,3.0931351163,8.3905763481,3.5323613348,2.7741782593,2.6730665186
