year,marital_status,age,education_years,children,happiness,health,employment_status,party_id
2024,Divorced,72,16,1,Pretty happy,Fair,Retired,"Independent, close to republican"
2024,Divorced,72,16,3,Pretty happy,Excellent,Retired,Strong democrat
2024,Widowed,89,16,3,Not too happy,Good,Retired,"Independent, close to democrat"
2024,Married,71,12,3,Not too happy,Good,Retired,Not very strong republican
2024,Widowed,74,17,3,Pretty happy,Good,Retired,"Independent, close to democrat"
2024,Never married,30,16,0,Pretty happy,Good,"With a job, but not at work because of temporary illness, vacation, strike",Strong republican
2024,Widowed,77,16,0,Pretty happy,Fair,Retired,Strong democrat
2024,Divorced,73,12,2,Pretty happy,Good,Retired,Strong democrat
2024,Married,65,20,2,Pretty happy,Excellent,Working part time,Strong democrat
2024,Never married,59,16,3,Pretty happy,Good,Working full time,"Independent, close to republican"
2024,Married,49,13,0,Not too happy,Good,Working part time,"Independent, close to republican"
2024,Married,64,19,2,Pretty happy,Good,Working full time,Not very strong republican
2024,Married,70,18,1,Pretty happy,Good,Retired,"Independent (neither, no response)"
2024,Married,68,14,0,Very happy,Good,Retired,"Independent, close to democrat"
2024,Married,31,18,1,Very happy,Good,Working full time,Strong democrat
2024,Married,36,16,2,Very happy,Excellent,Keeping house,Not very strong democrat
2024,Never married,36,16,2,Pretty happy,Good,Working part time,Strong democrat
2024,Married,45,16,2,Pretty happy,Excellent,Working part time,Not very strong republican
2024,Married,67,20,2,Pretty happy,Good,Working part time,"Independent, close to republican"
2024,Married,52,16,4,Pretty happy,Excellent,Working part time,"Independent, close to republican"
2024,Widowed,35,20,0,Pretty happy,Good,Working full time,"Independent (neither, no response)"
2024,Never married,28,18,0,Pretty happy,Good,Working full time,"Independent (neither, no response)"
2024,Never married,41,16,0,Pretty happy,Good,Working full time,Not very strong democrat
2024,Never married,23,17,0,Pretty happy,Good,Working full time,"Independent, close to democrat"
2024,Never married,27,17,0,Very happy,Excellent,In school,"Independent (neither, no response)"
2024,Married,55,16,0,Pretty happy,Fair,Working part time,"Independent (neither, no response)"
2024,Widowed,69,4,1,Pretty happy,Poor,Retired,"Independent, close to democrat"
2024,Never married,65,12,0,Pretty happy,Good,Retired,Strong democrat
2024,Married,38,14,3,Pretty happy,Good,Working full time,"Independent, close to democrat"
2024,Never married,37,12,0,Pretty happy,Excellent,Working full time,"Independent, close to republican"
2024,Separated,70,12,2,Pretty happy,Good,Retired,Strong democrat
2024,Married,62,12,3,Pretty happy,Fair,Retired,Strong republican
2024,Divorced,70,18,3,Pretty happy,Fair,Retired,Strong democrat
2024,Divorced,64,15,2,Pretty happy,Good,Retired,"Independent (neither, no response)"
2024,Widowed,60,16,0,Pretty happy,Fair,Retired,"Independent (neither, no response)"
2024,Never married,42,13,0,Pretty happy,Fair,Working full time,Not very strong republican
2024,Married,27,16,0,Very happy,Good,Working full time,Not very strong democrat
2024,Never married,NA,20,0,Pretty happy,Good,Working full time,Not very strong republican
2024,Married,66,18,1,Pretty happy,Excellent,Retired,Strong democrat
2024,Divorced,58,16,1,Very happy,Excellent,Working full time,Strong democrat
2024,Married,69,16,1,Pretty happy,Fair,Retired,Strong democrat
2024,Married,37,16,1,Pretty happy,Good,Working full time,Not very strong democrat
2024,Married,49,16,2,Pretty happy,Excellent,In school,Strong democrat
2024,Married,72,19,1,Pretty happy,Good,Retired,Strong democrat
2024,Never married,22,16,0,Pretty happy,Fair,In school,Other party
2024,Married,80,20,1,Pretty happy,Good,Retired,"Independent, close to democrat"
2024,Married,57,18,2,Pretty happy,Good,Working full time,Not very strong democrat
2024,Married,75,15,2,Pretty happy,Fair,Retired,Strong republican
2024,Separated,32,16,2,Pretty happy,Excellent,Working full time,Not very strong democrat
2024,Married,34,14,0,Pretty happy,Fair,Keeping house,Not very strong republican
2024,Never married,34,12,0,Not too happy,Poor,Working full time,"Independent (neither, no response)"
2024,Never married,34,12,0,Pretty happy,Fair,Other,Not very strong democrat
2024,Married,64,14,3,Not too happy,Good,Working full time,"Independent (neither, no response)"
2024,Married,71,9,0,Pretty happy,Fair,Retired,Strong democrat
2024,Never married,21,12,0,Pretty happy,Fair,Working full time,Strong republican
2024,Married,29,20,2,Pretty happy,Good,Working part time,NA
2024,Divorced,62,15,2,Pretty happy,Good,Working part time,"Independent, close to republican"
2024,Married,73,13,0,Very happy,Good,Retired,"Independent (neither, no response)"
2024,Married,62,15,3,Very happy,Good,"With a job, but not at work because of temporary illness, vacation, strike",Strong republican
2024,Widowed,NA,1,3,Pretty happy,Excellent,Retired,Not very strong democrat
2024,Widowed,74,14,1,Very happy,Poor,Retired,Not very strong democrat
2024,Never married,26,6,2,Very happy,Excellent,Working full time,"Independent (neither, no response)"
2024,Never married,58,17,4,Not too happy,Good,Keeping house,Strong democrat
2024,Never married,18,12,0,Pretty happy,Good,Working full time,"Independent, close to democrat"
2024,Never married,22,12,1,Not too happy,Good,Working full time,Not very strong republican
2024,Never married,30,12,0,Not too happy,Good,"Unemployed, laid off, looking for work",Not very strong democrat
2024,Never married,39,16,2,Pretty happy,Good,Working full time,Strong republican
2024,Never married,19,13,0,Pretty happy,Good,In school,"Independent (neither, no response)"
2024,Never married,41,12,1,Pretty happy,Fair,Working part time,"Independent (neither, no response)"
2024,Widowed,38,11,2,Not too happy,Fair,Working part time,"Independent (neither, no response)"
2024,Married,24,18,0,Pretty happy,Fair,Working full time,Other party
2024,Married,66,14,2,Very happy,Fair,Retired,Not very strong democrat
2024,Never married,33,12,1,Pretty happy,Good,In school,"Independent, close to democrat"
2024,Widowed,48,16,5,Not too happy,Good,Working full time,Strong democrat
2024,Never married,21,15,0,Not too happy,Good,Working part time,"Independent, close to democrat"
2024,Never married,28,11,0,Not too happy,Good,Working part time,"Independent, close to republican"
2024,Widowed,28,12,2,Not too happy,Good,"Unemployed, laid off, looking for work","Independent (neither, no response)"
2024,Never married,29,12,5,Not too happy,Good,Keeping house,"Independent (neither, no response)"
2024,Never married,18,11,0,Not too happy,Fair,In school,Other party
2024,Married,40,14,1,Very happy,Good,Working full time,"Independent (neither, no response)"
2024,Married,62,17,2,Pretty happy,Good,Retired,Not very strong republican
2024,Married,39,12,2,Not too happy,Good,Keeping house,Not very strong republican
2024,Separated,NA,12,3,Pretty happy,Good,Working full time,Not very strong democrat
2024,Never married,53,18,0,Pretty happy,Poor,Working full time,Not very strong democrat
2024,Married,41,18,0,Very happy,Good,Working full time,Not very strong democrat
