rank,previous_rank_change,artist,song,weeks_on_chart,peak_rank,streams,genre
139,-30,Linkin Park,Numb,125,24,9025573,Rock
140,-11,Tame Impala,The Less I Know The Better,99,84,8980767,Alternative
141,-3,Cigarettes After Sex,Apocalypse,213,53,8967334,Indie
142,-24,Sabrina Carpenter,Espresso,124,1,8963328,Pop
143,+4,Rihanna,We Found Love (w/ Calvin Harris),146,59,8930179,Pop
144,+6,Taylor Swift,Blank Space,116,27,8925048,Pop
145,+21,TOTO,Africa,127,95,8891749,Rock
146,-2,a-ha,Take on Me - 2015 Remaster,13,133,8862978,Pop
147,-44,Kendrick Lamar,All The Stars (w/ SZA),167,2,8805785,Hip-hop
148,-26,Fat Papi,FREAKED OUT (w/ prodshushy),7,60,8804229,Latin
149,+23,AC/DC,Thunderstruck,23,125,8778278,Rock
150,RE,Miguel,Sure Thing,92,14,8743641,R&B
151,+22,She & Him,I Thought I Saw Your Face Today,38,14,8743075,Indie
152,-17,DJ Snake,Let Me Love You (w/ Justin Bieber),140,2,8741732,Electronic
153,-16,Coldplay,Sparks,105,30,8706463,Rock
154,+8,The Weeknd,Die For You,227,12,8705937,R&B
155,+3,The Script,The Man Who Can't Be Moved,41,95,8662153,Rock
156,+8,Fuerza Regida,COQUETA (w/ Grupo Frontera),68,88,8659360,Regional Mexican
157,+31,Lana Del Rey,Young And Beautiful,69,104,8651915,Alternative
158,-9,Justin Bieber,Baby (w/ Ludacris),20,6,8641214,Pop
159,-8,sombr,12 to 12,57,14,8611662,Indie
160,+9,Ed Sheeran,Perfect,462,4,8608198,Pop
161,-48,Empire Of The Sun,We Are The People,56,81,8578279,Electronic
162,+3,Rihanna,S&M,22,149,8572070,Pop
163,+27,Calvin Harris,Outside (w/ Ellie Goulding),80,4,8554914,Electronic
164,-23,Ed Sheeran,Shape of You,429,1,8529672,Pop
165,-9,Charlie Puth,We Don't Talk Anymore (w/ Selena Gomez),141,9,8518904,Pop
166,-27,Black Eyed Peas,I Gotta Feeling,21,118,8510591,Pop
167,-6,Justin Bieber,Confident - Single Version (w/ Chance the Rapper),46,9,8504966,Pop
168,-8,Katy Perry,Last Friday Night (T.G.I.F.),32,116,8472343,Pop
169,-14,KATSEYE,Gabriela,62,10,8471046,Pop
170,-16,Keane,Somewhere Only We Know,196,71,8466308,Rock
171,RE,Coldplay,A Sky Full of Stars,174,6,8433236,Rock
172,-29,Bad Bunny,Tití Me Preguntó,91,4,8423535,Latin
173,-16,Disco Lines,No Broke Boys (w/ Tinashe),59,13,8383635,Electronic
