district,state_abb,state,house_rep_20,house_party_20,house_rep_22,house_party_22,house_rep_24,house_party_24,harris_24,trump_24,gerry_22,gerry_24,gerry_26
DE-00,DE,Delaware,Lisa Blunt Rochester,Democrat,Lisa Blunt Rochester,Democrat,Sarah Mcbride,Democrat,56.63,41.89,NA,NA,NA
FL-01,FL,Florida,Matt Gaetz,Republican,Matt Gaetz,Republican,Matt Gaetz,Republican,30.88,68.1,F,F,F
FL-02,FL,Florida,Neal P Dunn,Republican,Neal P Dunn,Republican,Neal P. Dunn,Republican,40.48,58.55,F,F,F
FL-03,FL,Florida,Kat Cammack,Republican,Kat Cammack,Republican,Kat Cammack,Republican,38.93,60.04,F,F,F
FL-04,FL,Florida,John H Rutherford,Republican,Aaron Bean,Republican,Aaron Bean,Republican,43.49,55.32,F,F,F
FL-05,FL,Florida,Al Lawson Jr,Democrat,John H Rutherford,Republican,John H. Rutherford,Republican,38.52,59.85,F,F,F
FL-06,FL,Florida,Michael Waltz,Republican,Michael Waltz,Republican,Michael Waltz,Republican,34.5,64.52,F,F,F
FL-07,FL,Florida,Stephanie N Murphy,Democrat,Cory Mills,Republican,Cory Mills,Republican,43.11,55.62,F,F,F
FL-08,FL,Florida,Bill Posey,Republican,Bill Posey,Republican,Mike Haridopolos,Republican,38.35,60.72,F,F,F
FL-09,FL,Florida,Darren Soto,Democrat,Darren Soto,Democrat,Darren Soto,Democrat,51.17,47.65,F,F,F
FL-10,FL,Florida,Val Butler Demings,Democrat,Maxwell Alejandro Frost,Democrat,Maxwell Frost,Democrat,60.43,37.82,F,F,F
FL-11,FL,Florida,Daniel Webster,Republican,Daniel Webster,Republican,Daniel Webster,Republican,41.34,57.58,F,F,F
FL-12,FL,Florida,Gus M Bilirakis,Republican,Gus M Bilirakis,Republican,Gus M. Bilirakis,Republican,32.24,66.77,F,F,F
FL-13,FL,Florida,Charlie Crist,Democrat,Anna Paulina Luna,Republican,Anna Paulina Luna,Republican,43.41,55.22,F,F,F
FL-14,FL,Florida,Kathy Castor,Democrat,Kathy Castor,Democrat,Kathy Castor,Democrat,53.01,45.38,F,F,F
FL-15,FL,Florida,Scott Franklin,Republican,Laurel Lee,Republican,Laurel M. Lee,Republican,43.52,54.68,F,F,F
FL-16,FL,Florida,Vern Buchanan,Republican,Vern Buchanan,Republican,Vern Buchanan,Republican,41.71,57.23,F,F,F
FL-17,FL,Florida,W Gregory Steube,Republican,W Gregory Steube,Republican,W. Gregory Steube,Republican,37.68,61.6,F,F,F
FL-18,FL,Florida,Brian J Mast,Republican,C Scott Franklin,Republican,Scott Franklin,Republican,34.9,64.33,F,F,F
FL-19,FL,Florida,Byron Donalds,Republican,Byron Donalds,Republican,Byron Donalds,Republican,34.92,63.97,F,F,F
FL-20,FL,Florida,Alcee L Hastings,Democrat,Sheila Cherfilus-Mccormick,Democrat,Sheila Cherfilus-Mccormick,Democrat,69.26,29.57,F,F,F
FL-21,FL,Florida,Lois Frankel,Democrat,Brian J Mast,Republican,Brian J. Mast,Republican,41.19,57.69,F,F,F
FL-22,FL,Florida,Theodore E Deutch,Democrat,Lois Frankel,Democrat,Lois Frankel,Democrat,52.17,46.62,F,F,F
FL-23,FL,Florida,Debbie Wasserman Schultz,Democrat,Jared Moskowitz,Democrat,Jared Moskowitz,Democrat,50.31,48.43,F,F,F
FL-24,FL,Florida,Frederica S Wilson,Democrat,Frederica S Wilson,Democrat,Frederica S. Wilson,Democrat,64.38,34.43,F,F,F
FL-25,FL,Florida,Mario Diaz-Balart,Republican,Debbie Wasserman Schultz,Democrat,Debbie Wasserman Schultz,Democrat,51.98,46.69,F,F,F
FL-26,FL,Florida,Carlos Gimenez,Republican,Mario Diaz-Balart,Republican,Mario Diaz-Balart,Republican,32.11,66.99,F,F,F
FL-27,FL,Florida,Maria Elvira Salazar,Republican,Maria Elvira Salazar,Republican,Maria Elvira Salazar,Republican,42.12,56.73,F,F,F
FL-28,FL,Florida,NA,NA,Carlos A Gimenez,Republican,Carlos A. Gimenez,Republican,36.86,62.22,F,F,F
GA-01,GA,Georgia,"Earl L \""Buddy\"" Carter",Republican,Earl L ÂBuddyâ Carter,Republican,"Earl L. \""Buddy\"" Carter",Republican,41.96,57.62,F,F,F
GA-02,GA,Georgia,Sanford D Bishop Jr,Democrat,"Sanford D Bishop, Jr",Democrat,"Sanford D. Bishop, Jr.",Democrat,53.64,46.15,F,F,F
GA-03,GA,Georgia,A Drew Ferguson Iv,Republican,A Drew Ferguson Iv,Republican,Brian Jack,Republican,34.27,65.23,F,F,F
GA-04,GA,Georgia,"Henry C \""Hank\"" Johnson Jr",Democrat,"Henry C ÂHankâ Johnson, Jr",Democrat,"Henry C. \""Hank\"" Johnson, Jr.",Democrat,75.57,23.37,F,F,F
GA-05,GA,Georgia,Nikema Williams,Democrat,Nikema Williams,Democrat,Nikema Williams,Democrat,85.56,13.47,F,F,F
GA-06,GA,Georgia,Lucy Mcbath,Democrat,Rich Mccormick,Republican,Lucy Mcbath,Democrat,74.62,24.63,F,F,F
GA-07,GA,Georgia,Carolyn Bourdeaux,Democrat,Lucy Mcbath,Democrat,Richard Mccormick,Republican,38.86,59.96,F,F,F
GA-08,GA,Georgia,Austin Scott,Republican,Austin Scott,Republican,Austin Scott,Republican,34.23,65.54,F,F,F
GA-09,GA,Georgia,Andrew Clyde,Republican,Andrew S Clyde,Republican,Andrew S. Clyde,Republican,32.22,67.14,F,F,F
GA-10,GA,Georgia,Jody B Hice,Republican,Mike Collins,Republican,Mike Collins,Republican,38.81,60.66,F,F,F
GA-11,GA,Georgia,Barry Loudermilk,Republican,Barry Loudermilk,Republican,Barry Loudermilk,Republican,37.68,61.4,F,F,F
GA-12,GA,Georgia,Rick W Allen,Republican,Rick W Allen,Republican,Rick W. Allen,Republican,42.8,56.86,F,F,F
GA-13,GA,Georgia,David Scott,Democrat,David Scott,Democrat,David Scott,Democrat,70.72,28.34,F,F,F
GA-14,GA,Georgia,Marjorie Taylor Greene,Republican,Marjorie Taylor Greene,Republican,Marjorie Taylor Greene,Republican,31.05,68.41,F,F,F
HI-01,HI,Hawaii,Ed Case,Democrat,Ed Case,Democrat,Ed Case,Democrat,61.5,36.77,NA,NA,NA
HI-02,HI,Hawaii,"Kaialii \""Kai\"" Kahele",Democrat,Jill N Tokuda,Democrat,Jill N. Tokuda,Democrat,59.74,38.14,NA,NA,NA
IA-01,IA,Iowa,Ashley Hinson,Republican,Mariannette Miller-Meeks,Republican,Mariannette Miller-Meeks,Republican,45.04,53.5,B,B,B
IA-02,IA,Iowa,Mariannette Miller-Meeks,Republican,Ashley Hinson,Republican,Ashley Hinson,Republican,44.32,54.31,B,B,B
IA-03,IA,Iowa,Cynthia Axne,Democrat,Zach Nunn,Republican,Zachary Nunn,Republican,47.15,51.55,B,B,B
IA-04,IA,Iowa,Randy Feenstra,Republican,Randy Feenstra,Republican,Randy Feenstra,Republican,33.6,65.08,B,B,B
ID-01,ID,Idaho,Russ Fulcher,Republican,Russ Fulcher,Republican,Russ Fulcher,Republican,26.24,71.3,A,A,A
ID-02,ID,Idaho,Michael K Simpson,Republican,Michael K Simpson,Republican,Michael K. Simpson,Republican,35.12,61.84,A,A,A
IL-01,IL,Illinois,Bobby L Rush,Democrat,Jonathan L Jackson,Democrat,Jonathan L. Jackson,Democrat,65.37,33.36,F,F,F
IL-02,IL,Illinois,Robin L Kelly,Democrat,Robin L Kelly,Democrat,Robin L. Kelly,Democrat,65.88,32.75,F,F,F
IL-03,IL,Illinois,Marie Newman,Democrat,Delia Ramirez,Democrat,Delia C. Ramirez,Democrat,64.72,33.53,F,F,F
IL-04,IL,Illinois,"Jesus G \""Chuy\"" Garcia",Democrat,JesãS G ÂChuyâ GarcãA,Democrat,"Jesús G. \""Chuy\"" García",Democrat,63.31,35.01,F,F,F
IL-05,IL,Illinois,Mike Quigley,Democrat,Mike Quigley,Democrat,Mike Quigley,Democrat,68.01,30.79,F,F,F
IL-06,IL,Illinois,Sean Casten,Democrat,Sean Casten,Democrat,Sean Casten,Democrat,51.65,46.16,F,F,F
IL-07,IL,Illinois,Danny K Davis,Democrat,Danny K Davis,Democrat,Danny K. Davis,Democrat,82.18,16.69,F,F,F
IL-08,IL,Illinois,Raja Krishnamoorthi,Democrat,Raja Krishnamoorthi,Democrat,Raja Krishnamoorthi,Democrat,52.83,45.87,F,F,F
IL-09,IL,Illinois,Janice D Schakowsky,Democrat,Janice D Schakowsky,Democrat,Janice D. Schakowsky,Democrat,67.7,31.18,F,F,F
IL-10,IL,Illinois,Bradley Scott Schneider,Democrat,Bradley Scott Schneider,Democrat,Bradley Scott Schneider,Democrat,60.34,38.32,F,F,F
IL-11,IL,Illinois,Bill Foster,Democrat,Bill Foster,Democrat,Bill Foster,Democrat,54.97,43.57,F,F,F
IL-12,IL,Illinois,Mike Bost,Republican,Mike Bost,Republican,Mike Bost,Republican,27.51,70.99,F,F,F
IL-13,IL,Illinois,Rodney Davis,Republican,Nikki Budzinski,Democrat,Nikki Budzinski,Democrat,54.5,43.85,F,F,F
IL-14,IL,Illinois,Lauren Underwood,Democrat,Lauren Underwood,Democrat,Lauren Underwood,Democrat,51.75,46.56,F,F,F
IL-15,IL,Illinois,Mary Miller,Republican,Mary E Miller,Republican,Mary E. Miller,Republican,29.26,69.17,F,F,F
IL-16,IL,Illinois,Adam Kinzinger,Republican,Darin Lahood,Republican,Darin Lahood,Republican,37.79,60.53,F,F,F
IL-17,IL,Illinois,Cheri Bustos,Democrat,Eric Sorensen,Democrat,Eric Sorensen,Democrat,51.45,46.64,F,F,F
IL-18,IL,Illinois,Darin Lahood,Republican,NA,NA,NA,NA,NA,NA,F,F,F
IN-01,IN,Indiana,Frank J Mrvan,Democrat,Frank J Mrvan,Democrat,Frank J. Mrvan,Democrat,49.63,49.29,A,A,A
IN-02,IN,Indiana,Jackie Walorski,Republican,Rudolph ÂRudyâ Yakym Iii,Republican,Rudy Yakym Iii,Republican,35.9,62.34,A,A,A
IN-03,IN,Indiana,Jim Banks,Republican,Jim Banks,Republican,Marlin A. Stutzman,Republican,34.14,65.75,A,A,A
IN-04,IN,Indiana,James R Baird,Republican,James R Baird,Republican,James R. Baird,Republican,35.1,64.84,A,A,A
IN-05,IN,Indiana,Victoria Spartz,Republican,Victoria Spartz,Republican,Victoria Spartz,Republican,40.47,57.2,A,A,A
IN-06,IN,Indiana,Greg Pence,Republican,Greg Pence,Republican,Jefferson Shreve,Republican,33.45,66.55,A,A,A
IN-07,IN,Indiana,Andre Carson,Democrat,Andrã Carson,Democrat,André Carson,Democrat,69.75,28.38,A,A,A
IN-08,IN,Indiana,Larry Bucshon,Republican,Larry Bucshon,Republican,Mark Messmer,Republican,31.76,68.26,A,A,A
IN-09,IN,Indiana,Trey Hollingsworth,Republican,Erin Houchin,Republican,Erin Houchin,Republican,34.81,65.19,A,A,A
KS-01,KS,Kansas,Tracey Mann,Republican,Tracey Mann,Republican,Tracey Mann,Republican,33.45,64.72,F,F,F
KS-02,KS,Kansas,Jake Laturner,Republican,Jake Laturner,Republican,Derek Schmidt,Republican,39.21,58.89,F,F,F
KS-03,KS,Kansas,Sharice Davids,Democrat,Sharice Davids,Democrat,Sharice Davids,Democrat,51.16,47.06,F,F,F
KS-04,KS,Kansas,Ron Estes,Republican,Ron Estes,Republican,Ron Estes,Republican,37.5,60.79,F,F,F
KY-01,KY,Kentucky,James Comer,Republican,James Comer,Republican,James Comer,Republican,25.71,72.99,A,A,A
KY-02,KY,Kentucky,Brett Guthrie,Republican,Brett Guthrie,Republican,Brett Guthrie,Republican,28.61,69.92,A,A,A
KY-03,KY,Kentucky,John A Yarmuth,Democrat,Morgan Mcgarvey,Democrat,Morgan Mcgarvey,Democrat,58.53,39.62,A,A,A
KY-04,KY,Kentucky,Thomas Massie,Republican,Thomas Massie,Republican,Thomas Massie,Republican,31.37,66.91,A,A,A
KY-05,KY,Kentucky,Harold Rogers,Republican,Harold Rogers,Republican,Harold Rogers,Republican,17.45,81.32,A,A,A
KY-06,KY,Kentucky,Andy Barr,Republican,Andy Barr,Republican,Andy Barr,Republican,41.52,56.54,A,A,A
LA-01,LA,Louisiana,Steve Scalise,Republican,Steve Scalise,Republican,Steve Scalise,Republican,29.99,68.16,F,F,C
LA-02,LA,Louisiana,Cedric L Richmond,Democrat,Troy A Carter,Democrat,Troy A. Carter,Democrat,64.7,33.35,F,F,C
LA-03,LA,Louisiana,Clay Higgins,Republican,Clay Higgins,Republican,Clay Higgins,Republican,26.82,71.84,F,F,C
LA-04,LA,Louisiana,Mike Johnson,Republican,Mike Johnson,Republican,Mike Johnson,Republican,23.23,75.56,F,F,C
LA-05,LA,Louisiana,Luke J Letlow,Republican,Julia Letlow,Republican,Julia Letlow,Republican,31.06,67.44,F,F,C
LA-06,LA,Louisiana,Garret Graves,Republican,Garret Graves,Republican,Cleo Fields,Democrat,56.64,41.8,F,F,C
MA-01,MA,Massachusetts,Richard E Neal,Democrat,Richard E Neal,Democrat,Richard E. Neal,Democrat,55.63,41.86,A,A,A
MA-02,MA,Massachusetts,James P Mcgovern,Democrat,James P Mcgovern,Democrat,James P. Mcgovern,Democrat,60.26,36.71,A,A,A
MA-03,MA,Massachusetts,Lori Trahan,Democrat,Lori Trahan,Democrat,Lori Trahan,Democrat,58.1,39.27,A,A,A
MA-04,MA,Massachusetts,Jake Auchincloss,Democrat,Jake Auchincloss,Democrat,Jake Auchincloss,Democrat,58.44,38.86,A,A,A
MA-05,MA,Massachusetts,Katherine M Clark,Democrat,Katherine M Clark,Democrat,Katherine M. Clark,Democrat,70.85,25.97,A,A,A
MA-06,MA,Massachusetts,Seth Moulton,Democrat,Seth Moulton,Democrat,Seth Moulton,Democrat,59.04,38.47,A,A,A
MA-07,MA,Massachusetts,Ayanna Pressley,Democrat,Ayanna Pressley,Democrat,Ayanna Pressley,Democrat,79.46,16.73,A,A,A
MA-08,MA,Massachusetts,Stephen F Lynch,Democrat,Stephen F Lynch,Democrat,Stephen F. Lynch,Democrat,61.72,35.49,A,A,A
MA-09,MA,Massachusetts,William R Keating,Democrat,William R Keating,Democrat,William R. Keating,Democrat,54.29,43.58,A,A,A
MD-01,MD,Maryland,Andy Harris,Republican,Andy Harris,Republican,Andy Harris,Republican,40.17,56.99,A,A,A
MD-02,MD,Maryland,C A Dutch Ruppersberger,Democrat,C A Dutch Ruppersberger,Democrat,"John \""Johnny O\"" Olszewski, Jr.",Democrat,57.48,39.17,A,A,A
MD-03,MD,Maryland,John P Sarbanes,Democrat,John P Sarbanes,Democrat,Sarah Elfreth,Democrat,59.84,36.3,A,A,A
MD-04,MD,Maryland,Anthony G Brown,Democrat,Glenn F Ivey,Democrat,Glenn Ivey,Democrat,85,11.77,A,A,A
MD-05,MD,Maryland,Steny H Hoyer,Democrat,Steny H Hoyer,Democrat,Steny H. Hoyer,Democrat,65.11,32.03,A,A,A
MD-06,MD,Maryland,David J Trone,Democrat,David J Trone,Democrat,April Mcclain Delaney,Democrat,51.25,45.51,A,A,A
MD-07,MD,Maryland,Kweisi Mfume,Democrat,Kweisi Mfume,Democrat,Kweisi Mfume,Democrat,77.68,19.12,A,A,A
MD-08,MD,Maryland,Jamie Raskin,Democrat,Jamie Raskin,Democrat,Jamie Raskin,Democrat,76.01,20.17,A,A,A
ME-01,ME,Maine,Chellie Pingree,Democrat,Chellie Pingree,Democrat,Chellie Pingree,Democrat,59.78,37.97,B,B,B
ME-02,ME,Maine,Jared F Golden,Democrat,Jared F Golden,Democrat,Jared F. Golden,Democrat,44.22,53.75,B,B,B
MI-01,MI,Michigan,Jack Bergman,Republican,Jack Bergman,Republican,Jack Bergman,Republican,38.65,59.89,A,A,A
MI-02,MI,Michigan,Bill Huizenga,Republican,John R Moolenaar,Republican,John R. Moolenaar,Republican,34.3,64.18,A,A,A
MI-03,MI,Michigan,Peter Meijer,Republican,Hillary Scholten,Democrat,Hillary J. Scholten,Democrat,52.96,45.12,A,A,A
MI-04,MI,Michigan,John R Moolenaar,Republican,Bill Huizenga,Republican,Bill Huizenga,Republican,46.25,51.92,A,A,A
MI-05,MI,Michigan,Daniel T Kildee,Democrat,Tim Walberg,Republican,Tim Walberg,Republican,35.63,62.71,A,A,A
