year,state,state_po,district,candidate,party
2024,Connecticut,CT,CT-01,John B. Larson,Democrat
2024,Connecticut,CT,CT-02,Joe Courtney,Democrat
2024,Connecticut,CT,CT-03,Rosa L. Delauro,Democrat
2024,Connecticut,CT,CT-04,James A. Himes,Democrat
2024,Connecticut,CT,CT-05,Jahana Hayes,Democrat
2024,Delaware,DE,DE-00,Sarah Mcbride,Democrat
2024,Florida,FL,FL-01,Matt Gaetz,Republican
2024,Florida,FL,FL-02,Neal P. Dunn,Republican
2024,Florida,FL,FL-03,Kat Cammack,Republican
2024,Florida,FL,FL-04,Aaron Bean,Republican
2024,Florida,FL,FL-05,John H. Rutherford,Republican
2024,Florida,FL,FL-06,Michael Waltz,Republican
2024,Florida,FL,FL-07,Cory Mills,Republican
2024,Florida,FL,FL-08,Mike Haridopolos,Republican
2024,Florida,FL,FL-09,Darren Soto,Democrat
2024,Florida,FL,FL-10,Maxwell Frost,Democrat
2024,Florida,FL,FL-11,Daniel Webster,Republican
2024,Florida,FL,FL-12,Gus M. Bilirakis,Republican
2024,Florida,FL,FL-13,Anna Paulina Luna,Republican
2024,Florida,FL,FL-14,Kathy Castor,Democrat
2024,Florida,FL,FL-15,Laurel M. Lee,Republican
2024,Florida,FL,FL-16,Vern Buchanan,Republican
2024,Florida,FL,FL-17,W. Gregory Steube,Republican
2024,Florida,FL,FL-18,Scott Franklin,Republican
2024,Florida,FL,FL-19,Byron Donalds,Republican
2024,Florida,FL,FL-20,Sheila Cherfilus-Mccormick,Democrat
2024,Florida,FL,FL-21,Brian J. Mast,Republican
2024,Florida,FL,FL-22,Lois Frankel,Democrat
2024,Florida,FL,FL-23,Jared Moskowitz,Democrat
2024,Florida,FL,FL-24,Frederica S. Wilson,Democrat
2024,Florida,FL,FL-25,Debbie Wasserman Schultz,Democrat
2024,Florida,FL,FL-26,Mario Diaz-Balart,Republican
2024,Florida,FL,FL-27,Maria Elvira Salazar,Republican
2024,Florida,FL,FL-28,Carlos A. Gimenez,Republican
2024,Georgia,GA,GA-01,"Earl L. \""Buddy\"" Carter",Republican
2024,Georgia,GA,GA-02,"Sanford D. Bishop, Jr.",Democrat
2024,Georgia,GA,GA-03,Brian Jack,Republican
2024,Georgia,GA,GA-04,"Henry C. \""Hank\"" Johnson, Jr.",Democrat
2024,Georgia,GA,GA-05,Nikema Williams,Democrat
2024,Georgia,GA,GA-06,Lucy Mcbath,Democrat
2024,Georgia,GA,GA-07,Richard Mccormick,Republican
2024,Georgia,GA,GA-08,Austin Scott,Republican
2024,Georgia,GA,GA-09,Andrew S. Clyde,Republican
2024,Georgia,GA,GA-10,Mike Collins,Republican
2024,Georgia,GA,GA-11,Barry Loudermilk,Republican
2024,Georgia,GA,GA-12,Rick W. Allen,Republican
2024,Georgia,GA,GA-13,David Scott,Democrat
2024,Georgia,GA,GA-14,Marjorie Taylor Greene,Republican
2024,Hawaii,HI,HI-01,Ed Case,Democrat
2024,Hawaii,HI,HI-02,Jill N. Tokuda,Democrat
2024,Iowa,IA,IA-01,Mariannette Miller-Meeks,Republican
2024,Iowa,IA,IA-02,Ashley Hinson,Republican
2024,Iowa,IA,IA-03,Zachary Nunn,Republican
2024,Iowa,IA,IA-04,Randy Feenstra,Republican
2024,Idaho,ID,ID-01,Russ Fulcher,Republican
2024,Idaho,ID,ID-02,Michael K. Simpson,Republican
2024,Illinois,IL,IL-01,Jonathan L. Jackson,Democrat
2024,Illinois,IL,IL-02,Robin L. Kelly,Democrat
2024,Illinois,IL,IL-03,Delia C. Ramirez,Democrat
2024,Illinois,IL,IL-04,"Jesús G. \""Chuy\"" García",Democrat
2024,Illinois,IL,IL-05,Mike Quigley,Democrat
2024,Illinois,IL,IL-06,Sean Casten,Democrat
2024,Illinois,IL,IL-07,Danny K. Davis,Democrat
2024,Illinois,IL,IL-08,Raja Krishnamoorthi,Democrat
2024,Illinois,IL,IL-09,Janice D. Schakowsky,Democrat
2024,Illinois,IL,IL-10,Bradley Scott Schneider,Democrat
2024,Illinois,IL,IL-11,Bill Foster,Democrat
2024,Illinois,IL,IL-12,Mike Bost,Republican
2024,Illinois,IL,IL-13,Nikki Budzinski,Democrat
2024,Illinois,IL,IL-14,Lauren Underwood,Democrat
2024,Illinois,IL,IL-15,Mary E. Miller,Republican
2024,Illinois,IL,IL-16,Darin Lahood,Republican
2024,Illinois,IL,IL-17,Eric Sorensen,Democrat
2024,Indiana,IN,IN-01,Frank J. Mrvan,Democrat
2024,Indiana,IN,IN-02,Rudy Yakym Iii,Republican
2024,Indiana,IN,IN-03,Marlin A. Stutzman,Republican
2024,Indiana,IN,IN-04,James R. Baird,Republican
2024,Indiana,IN,IN-05,Victoria Spartz,Republican
2024,Indiana,IN,IN-06,Jefferson Shreve,Republican
2024,Indiana,IN,IN-07,André Carson,Democrat
2024,Indiana,IN,IN-08,Mark Messmer,Republican
2024,Indiana,IN,IN-09,Erin Houchin,Republican
2024,Kansas,KS,KS-01,Tracey Mann,Republican
2024,Kansas,KS,KS-02,Derek Schmidt,Republican
2024,Kansas,KS,KS-03,Sharice Davids,Democrat
2024,Kansas,KS,KS-04,Ron Estes,Republican
2024,Kentucky,KY,KY-01,James Comer,Republican
2024,Kentucky,KY,KY-02,Brett Guthrie,Republican
2024,Kentucky,KY,KY-03,Morgan Mcgarvey,Democrat
2024,Kentucky,KY,KY-04,Thomas Massie,Republican
2024,Kentucky,KY,KY-05,Harold Rogers,Republican
2024,Kentucky,KY,KY-06,Andy Barr,Republican
2024,Louisiana,LA,LA-01,Steve Scalise,Republican
2024,Louisiana,LA,LA-02,Troy A. Carter,Democrat
2024,Louisiana,LA,LA-03,Clay Higgins,Republican
2024,Louisiana,LA,LA-04,Mike Johnson,Republican
2024,Louisiana,LA,LA-05,Julia Letlow,Republican
2024,Louisiana,LA,LA-06,Cleo Fields,Democrat
2024,Massachusetts,MA,MA-01,Richard E. Neal,Democrat
2024,Massachusetts,MA,MA-02,James P. Mcgovern,Democrat
2024,Massachusetts,MA,MA-03,Lori Trahan,Democrat
2024,Massachusetts,MA,MA-04,Jake Auchincloss,Democrat
2024,Massachusetts,MA,MA-05,Katherine M. Clark,Democrat
2024,Massachusetts,MA,MA-06,Seth Moulton,Democrat
2024,Massachusetts,MA,MA-07,Ayanna Pressley,Democrat
2024,Massachusetts,MA,MA-08,Stephen F. Lynch,Democrat
2024,Massachusetts,MA,MA-09,William R. Keating,Democrat
2024,Maryland,MD,MD-01,Andy Harris,Republican
2024,Maryland,MD,MD-02,"John \""Johnny O\"" Olszewski, Jr.",Democrat
2024,Maryland,MD,MD-03,Sarah Elfreth,Democrat
2024,Maryland,MD,MD-04,Glenn Ivey,Democrat
2024,Maryland,MD,MD-05,Steny H. Hoyer,Democrat
2024,Maryland,MD,MD-06,April Mcclain Delaney,Democrat
2024,Maryland,MD,MD-07,Kweisi Mfume,Democrat
2024,Maryland,MD,MD-08,Jamie Raskin,Democrat
2024,Maine,ME,ME-01,Chellie Pingree,Democrat
2024,Maine,ME,ME-02,Jared F. Golden,Democrat
2024,Michigan,MI,MI-01,Jack Bergman,Republican
2024,Michigan,MI,MI-02,John R. Moolenaar,Republican
2024,Michigan,MI,MI-03,Hillary J. Scholten,Democrat
2024,Michigan,MI,MI-04,Bill Huizenga,Republican
2024,Michigan,MI,MI-05,Tim Walberg,Republican
2024,Michigan,MI,MI-06,Debbie Dingell,Democrat
2024,Michigan,MI,MI-07,Tom Barrett,Republican
2024,Michigan,MI,MI-08,Kristen Mcdonald Rivet,Democrat
2024,Michigan,MI,MI-09,Lisa C. Mcclain,Republican
2024,Michigan,MI,MI-10,John James,Republican
2024,Michigan,MI,MI-11,Haley M. Stevens,Democrat
2024,Michigan,MI,MI-12,Rashida Tlaib,Democrat
2024,Michigan,MI,MI-13,Shri Thanedar,Democrat
2024,Minnesota,MN,MN-01,Brad Finstad,Republican
2024,Minnesota,MN,MN-02,Angie Craig,Democrat
2024,Minnesota,MN,MN-03,Kelly Morrison,Democrat
2024,Minnesota,MN,MN-04,Betty Mccollum,Democrat
2024,Minnesota,MN,MN-05,Ilhan Omar,Democrat
2024,Minnesota,MN,MN-06,Tom Emmer,Republican
2024,Minnesota,MN,MN-07,Michelle Fischbach,Republican
2024,Minnesota,MN,MN-08,Pete Stauber,Republican
2024,Missouri,MO,MO-01,Wesley Bell,Democrat
2024,Missouri,MO,MO-02,Ann Wagner,Republican
2024,Missouri,MO,MO-03,Bob Onder,Republican
2024,Missouri,MO,MO-04,Mark Alford,Republican
2024,Missouri,MO,MO-05,Emanuel Cleaver,Democrat
2024,Missouri,MO,MO-06,Sam Graves,Republican
2024,Missouri,MO,MO-07,Eric Burlison,Republican
2024,Missouri,MO,MO-08,Jason Smith,Republican
2024,Mississippi,MS,MS-01,Trent Kelly,Republican
2024,Mississippi,MS,MS-02,Bennie G. Thompson,Democrat
2024,Mississippi,MS,MS-03,Michael Guest,Republican
2024,Mississippi,MS,MS-04,Mike Ezell,Republican
2024,Montana,MT,MT-01,Ryan K. Zinke,Republican
2024,Montana,MT,MT-02,Troy Downing,Republican
2024,North Carolina,NC,NC-01,Donald G. Davis,Democrat
2024,North Carolina,NC,NC-02,Deborah K. Ross,Democrat
2024,North Carolina,NC,NC-03,Gregory F. Murphy,Republican
2024,North Carolina,NC,NC-04,Valerie P. Foushee,Democrat
2024,North Carolina,NC,NC-05,Virginia Foxx,Republican
2024,North Carolina,NC,NC-06,Addison Mcdowell,Republican
2024,North Carolina,NC,NC-07,David Rouzer,Republican
2024,North Carolina,NC,NC-08,Mark Harris,Republican
2024,North Carolina,NC,NC-09,Richard Hudson,Republican
2024,North Carolina,NC,NC-10,Pat Harrigan,Republican
2024,North Carolina,NC,NC-11,Chuck Edwards,Republican
2024,North Carolina,NC,NC-12,Alma S. Adams,Democrat
2024,North Carolina,NC,NC-13,Brad Knott,Republican
2024,North Carolina,NC,NC-14,Tim Moore,Republican
2024,North Dakota,ND,ND-00,Julie Fedorchak,Republican
2024,Nebraska,NE,NE-01,Mike Flood,Republican
2024,Nebraska,NE,NE-02,Don Bacon,Republican
2024,Nebraska,NE,NE-03,Adrian Smith,Republican
2024,New Hampshire,NH,NH-01,Chris Pappas,Democrat
2024,New Hampshire,NH,NH-02,Maggie Goodlander,Democrat
2024,New Jersey,NJ,NJ-01,Donald Norcross,Democrat
2024,New Jersey,NJ,NJ-02,Jefferson Van Drew,Republican
2024,New Jersey,NJ,NJ-03,Herb Conaway,Democrat
2024,New Jersey,NJ,NJ-04,Christopher H. Smith,Republican
2024,New Jersey,NJ,NJ-05,Josh Gottheimer,Democrat
2024,New Jersey,NJ,NJ-06,"Frank Pallone, Jr.",Democrat
2024,New Jersey,NJ,NJ-07,"Thomas H. Kean, Jr.",Republican
2024,New Jersey,NJ,NJ-08,Robert Menendez,Democrat
2024,New Jersey,NJ,NJ-09,Nellie Pou,Democrat
2024,New Jersey,NJ,NJ-10,Lamonica Mciver,Democrat
2024,New Jersey,NJ,NJ-11,Mikie Sherrill,Democrat
2024,New Jersey,NJ,NJ-12,Bonnie Watson Coleman,Democrat
2024,New Mexico,NM,NM-01,Melanie A. Stansbury,Democrat
2024,New Mexico,NM,NM-02,Gabe Vasquez,Democrat
2024,New Mexico,NM,NM-03,Teresa Leger Fernandez,Democrat
2024,Nevada,NV,NV-01,Dina Titus,Democrat
2024,Nevada,NV,NV-02,Mark E. Amodei,Republican
2024,Nevada,NV,NV-03,Susie Lee,Democrat
2024,Nevada,NV,NV-04,Steven Horsford,Democrat
2024,New York,NY,NY-01,Nick Lalota,Republican
2024,New York,NY,NY-02,Andrew R. Garbarino,Republican
2024,New York,NY,NY-03,Thomas R. Suozzi,Democrat
2024,New York,NY,NY-04,Laura A. Gillen,Democrat
2024,New York,NY,NY-05,Gregory W. Meeks,Democrat
2024,New York,NY,NY-06,Grace Meng,Democrat
2024,New York,NY,NY-07,Nydia M. Velázquez,Democrat
2024,New York,NY,NY-08,Hakeem S. Jeffries,Democrat
2024,New York,NY,NY-09,Yvette D. Clarke,Democrat
2024,New York,NY,NY-10,Daniel S. Goldman,Democrat
2024,New York,NY,NY-11,Nicole Malliotakis,Republican
2024,New York,NY,NY-12,Jerrold Nadler,Democrat
2024,New York,NY,NY-13,Adriano Espaillat,Democrat
2024,New York,NY,NY-14,Alexandria Ocasio-Cortez,Democrat
2024,New York,NY,NY-15,Ritchie Torres,Democrat
2024,New York,NY,NY-16,George S. Latimer,Democrat
2024,New York,NY,NY-17,Michael Lawler,Republican
2024,New York,NY,NY-18,Patrick Ryan,Democrat
2024,New York,NY,NY-19,Josh Riley,Democrat
2024,New York,NY,NY-20,Paul Tonko,Democrat
2024,New York,NY,NY-21,Elise M. Stefanik,Republican
2024,New York,NY,NY-22,John W. Mannion,Democrat
2024,New York,NY,NY-23,Nicholas A. Langworthy,Republican
2024,New York,NY,NY-24,Claudia Tenney,Republican
2024,New York,NY,NY-25,Joseph D. Morelle,Democrat
2024,New York,NY,NY-26,Timothy M. Kennedy,Democrat
2024,Ohio,OH,OH-01,Greg Landsman,Democrat
2024,Ohio,OH,OH-02,David J. Taylor,Republican
2024,Ohio,OH,OH-03,Joyce Beatty,Democrat
2024,Ohio,OH,OH-04,Jim Jordan,Republican
2024,Ohio,OH,OH-05,Robert E. Latta,Republican
2024,Ohio,OH,OH-06,Michael A. Rulli,Republican
2024,Ohio,OH,OH-07,Max L. Miller,Republican
2024,Ohio,OH,OH-08,Warren Davidson,Republican
2024,Ohio,OH,OH-09,Marcy Kaptur,Democrat
2024,Ohio,OH,OH-10,Michael R. Turner,Republican
2024,Ohio,OH,OH-11,Shontel M. Brown,Democrat
2024,Ohio,OH,OH-12,Troy Balderson,Republican
2024,Ohio,OH,OH-13,Emilia Strong Sykes,Democrat
2024,Ohio,OH,OH-14,David P. Joyce,Republican
2024,Ohio,OH,OH-15,Mike Carey,Republican
2024,Oklahoma,OK,OK-01,Kevin Hern,Republican
2024,Oklahoma,OK,OK-02,Josh Brecheen,Republican
2024,Oklahoma,OK,OK-03,Frank D. Lucas,Republican
2024,Oklahoma,OK,OK-04,Tom Cole,Republican
2024,Oklahoma,OK,OK-05,Stephanie I. Bice,Republican
2024,Oregon,OR,OR-01,Suzanne Bonamici,Democrat
2024,Oregon,OR,OR-02,Cliff Bentz,Republican
2024,Oregon,OR,OR-03,Maxine E. Dexter,Democrat
2024,Oregon,OR,OR-04,Val T. Hoyle,Democrat
2024,Oregon,OR,OR-05,Janelle S. Bynum,Democrat
2024,Oregon,OR,OR-06,Andrea Salinas,Democrat
2024,Pennsylvania,PA,PA-01,Brian K. Fitzpatrick,Republican
2024,Pennsylvania,PA,PA-02,Brendan F. Boyle,Democrat
2024,Pennsylvania,PA,PA-03,Dwight Evans,Democrat
2024,Pennsylvania,PA,PA-04,Madeleine Dean,Democrat
2024,Pennsylvania,PA,PA-05,Mary Gay Scanlon,Democrat
2024,Pennsylvania,PA,PA-06,Chrissy Houlahan,Democrat
2024,Pennsylvania,PA,PA-07,Ryan E. Mackenzie,Republican
2024,Pennsylvania,PA,PA-08,"Rob Bresnahan, Jr.",Republican
2024,Pennsylvania,PA,PA-09,Daniel Meuser,Republican
2024,Pennsylvania,PA,PA-10,Scott Perry,Republican
2024,Pennsylvania,PA,PA-11,Lloyd Smucker,Republican
2024,Pennsylvania,PA,PA-12,Summer L. Lee,Democrat
2024,Pennsylvania,PA,PA-13,John Joyce,Republican
2024,Pennsylvania,PA,PA-14,Guy Reschenthaler,Republican
2024,Pennsylvania,PA,PA-15,Glenn Thompson,Republican
2024,Pennsylvania,PA,PA-16,Mike Kelly,Republican
2024,Pennsylvania,PA,PA-17,Christopher R. Deluzio,Democrat
2024,Rhode Island,RI,RI-01,Gabe Amo,Democrat
2024,Rhode Island,RI,RI-02,Seth Magaziner,Democrat
2024,South Carolina,SC,SC-01,Nancy Mace,Republican
2024,South Carolina,SC,SC-02,Joe Wilson,Republican
2024,South Carolina,SC,SC-03,Sheri Biggs,Republican
2024,South Carolina,SC,SC-04,William R. Timmons Iv,Republican
2024,South Carolina,SC,SC-05,Ralph Norman,Republican
2024,South Carolina,SC,SC-06,James E. Clyburn,Democrat
2024,South Carolina,SC,SC-07,Russell Fry,Republican
2024,South Dakota,SD,SD-00,Dusty Johnson,Republican
2024,Tennessee,TN,TN-01,Diana Harshbarger,Republican
2024,Tennessee,TN,TN-02,Tim Burchett,Republican
2024,Tennessee,TN,TN-03,"Charles J. \""Chuck\"" Fleischmann",Republican
2024,Tennessee,TN,TN-04,Scott Desjarlais,Republican
2024,Tennessee,TN,TN-05,Andrew Ogles,Republican
2024,Tennessee,TN,TN-06,John W. Rose,Republican
2024,Tennessee,TN,TN-07,Mark E. Green,Republican
2024,Tennessee,TN,TN-08,David Kustoff,Republican
2024,Tennessee,TN,TN-09,Steve Cohen,Democrat
2024,Texas,TX,TX-01,Nathaniel Moran,Republican
2024,Texas,TX,TX-02,Dan Crenshaw,Republican
2024,Texas,TX,TX-03,Keith Self,Republican
2024,Texas,TX,TX-04,Pat Fallon,Republican
2024,Texas,TX,TX-05,Lance Gooden,Republican
2024,Texas,TX,TX-06,Jake Ellzey,Republican
2024,Texas,TX,TX-07,Lizzie Fletcher,Democrat
2024,Texas,TX,TX-08,Morgan Luttrell,Republican
2024,Texas,TX,TX-09,Al Green,Democrat
2024,Texas,TX,TX-10,Michael T. Mccaul,Republican
2024,Texas,TX,TX-11,August Pfluger,Republican
2024,Texas,TX,TX-12,Craig Goldman,Republican
2024,Texas,TX,TX-13,Ronny Jackson,Republican
2024,Texas,TX,TX-14,"Randy K. Weber, Sr.",Republican
2024,Texas,TX,TX-15,Monica De La Cruz,Republican
2024,Texas,TX,TX-16,Veronica Escobar,Democrat
2024,Texas,TX,TX-17,Pete Sessions,Republican
2024,Texas,TX,TX-18,Sylvester Turner,Democrat
2024,Texas,TX,TX-19,Jodey C. Arrington,Republican
2024,Texas,TX,TX-20,Joaquin Castro,Democrat
2024,Texas,TX,TX-21,Chip Roy,Republican
2024,Texas,TX,TX-22,Troy E. Nehls,Republican
2024,Texas,TX,TX-23,Tony Gonzales,Republican
2024,Texas,TX,TX-24,Beth Van Duyne,Republican
2024,Texas,TX,TX-25,Roger Williams,Republican
2024,Texas,TX,TX-26,Brandon Gill,Republican
2024,Texas,TX,TX-27,Michael Cloud,Republican
2024,Texas,TX,TX-28,Henry Cuellar,Democrat
2024,Texas,TX,TX-29,Sylvia R. Garcia,Democrat
2024,Texas,TX,TX-30,Jasmine Crockett,Democrat
2024,Texas,TX,TX-31,John R. Carter,Republican
2024,Texas,TX,TX-32,Julie Johnson,Democrat
2024,Texas,TX,TX-33,Marc A. Veasey,Democrat
2024,Texas,TX,TX-34,Vicente Gonzalez,Democrat
2024,Texas,TX,TX-35,Greg Casar,Democrat
2024,Texas,TX,TX-36,Brian Babin,Republican
2024,Texas,TX,TX-37,Lloyd Doggett,Democrat
2024,Texas,TX,TX-38,Wesley Hunt,Republican
2024,Utah,UT,UT-01,Blake D. Moore,Republican
2024,Utah,UT,UT-02,Celeste Maloy,Republican
2024,Utah,UT,UT-03,Mike Kennedy,Republican
2024,Utah,UT,UT-04,Burgess Owens,Republican
2024,Virginia,VA,VA-01,Robert J. Wittman,Republican
2024,Virginia,VA,VA-02,Jennifer A. Kiggans,Republican
2024,Virginia,VA,VA-03,"Robert C. \""Bobby\"" Scott",Democrat
2024,Virginia,VA,VA-04,Jennifer L. Mcclellan,Democrat
2024,Virginia,VA,VA-05,John J. Mcguire Iii,Republican
2024,Virginia,VA,VA-06,Ben Cline,Republican
2024,Virginia,VA,VA-07,Eugene S. Vindman,Democrat
2024,Virginia,VA,VA-08,"Donald S. Beyer, Jr.",Democrat
2024,Virginia,VA,VA-09,H. Morgan Griffith,Republican
2024,Virginia,VA,VA-10,Suhas Subramanyam,Democrat
2024,Virginia,VA,VA-11,Gerald E. Connolly,Democrat
2024,Vermont,VT,VT-00,Becca Balint,Democrat
2024,Washington,WA,WA-01,Suzan K. Delbene,Democrat
2024,Washington,WA,WA-02,Rick Larsen,Democrat
2024,Washington,WA,WA-03,Marie Gluesenkamp Perez,Democrat
2024,Washington,WA,WA-04,Dan Newhouse,Republican
2024,Washington,WA,WA-05,Michael Baumgartner,Republican
2024,Washington,WA,WA-06,Emily Randall,Democrat
2024,Washington,WA,WA-07,Pramila Jayapal,Democrat
2024,Washington,WA,WA-08,Kim Schrier,Democrat
2024,Washington,WA,WA-09,Adam Smith,Democrat
2024,Washington,WA,WA-10,Marilyn Strickland,Democrat
2024,Wisconsin,WI,WI-01,Bryan Steil,Republican
2024,Wisconsin,WI,WI-02,Mark Pocan,Democrat
2024,Wisconsin,WI,WI-03,Derrick Van Orden,Republican
2024,Wisconsin,WI,WI-04,Gwen Moore,Democrat
2024,Wisconsin,WI,WI-05,Scott Fitzgerald,Republican
2024,Wisconsin,WI,WI-06,Glenn Grothman,Republican
2024,Wisconsin,WI,WI-07,Thomas P. Tiffany,Republican
2024,Wisconsin,WI,WI-08,Tony Wied,Republican
2024,West Virginia,WV,WV-01,Carol D. Miller,Republican
2024,West Virginia,WV,WV-02,Riley Moore,Republican
2024,Wyoming,WY,WY-00,Harriet M. Hageman,Republican
