year,state,state_po,district,candidate,party
2020,Pennsylvania,PA,PA-03,Dwight Evans,Democrat
2020,Pennsylvania,PA,PA-04,Madeleine Dean Cunnane,Democrat
2020,Pennsylvania,PA,PA-05,Mary Gay Scanlon,Democrat
2020,Pennsylvania,PA,PA-06,Chrissy J Houlahan,Democrat
2020,Pennsylvania,PA,PA-07,Susan Ellis Wild,Democrat
2020,Pennsylvania,PA,PA-08,Matthew Alton Cartwright,Democrat
2020,Pennsylvania,PA,PA-09,Daniel Philip Meuser,Republican
2020,Pennsylvania,PA,PA-10,Scott G Perry,Republican
2020,Pennsylvania,PA,PA-11,Lloyd K Smucker,Republican
2020,Pennsylvania,PA,PA-12,Frederick B Keller,Republican
2020,Pennsylvania,PA,PA-13,John Joyce,Republican
2020,Pennsylvania,PA,PA-14,Guy Reschenthaler,Republican
2020,Pennsylvania,PA,PA-15,Glenn W Thompson Jr,Republican
2020,Pennsylvania,PA,PA-16,George J Kelly Jr,Republican
2020,Pennsylvania,PA,PA-17,Conor J Lamb,Democrat
2020,Pennsylvania,PA,PA-18,Michael F Doyle Jr,Democrat
2020,Rhode Island,RI,RI-01,David N Cicilline,Democrat
2020,Rhode Island,RI,RI-02,James R Langevin,Democrat
2020,South Carolina,SC,SC-01,Nancy Mace,Republican
2020,South Carolina,SC,SC-02,Joe Wilson,Republican
2020,South Carolina,SC,SC-03,Jeff Duncan,Republican
2020,South Carolina,SC,SC-04,William R Timmons Iv,Republican
2020,South Carolina,SC,SC-05,Ralph Norman,Republican
2020,South Carolina,SC,SC-06,James E Clyburn,Democrat
2020,South Carolina,SC,SC-07,Tom Rice,Republican
2020,South Dakota,SD,SD-00,Dusty Johnson,Republican
2020,Tennessee,TN,TN-01,Diana Harshbarger,Republican
2020,Tennessee,TN,TN-02,Tim Burchett,Republican
2020,Tennessee,TN,TN-03,"Charles J \""Chuck\"" Fleischmann",Republican
2020,Tennessee,TN,TN-04,Scott Desjarlais,Republican
2020,Tennessee,TN,TN-05,Jim Cooper,Democrat
2020,Tennessee,TN,TN-06,John W Rose,Republican
2020,Tennessee,TN,TN-07,Mark E Green,Republican
2020,Tennessee,TN,TN-08,David Kustoff,Republican
2020,Tennessee,TN,TN-09,Steve Cohen,Democrat
2020,Texas,TX,TX-01,Louie Gohmert,Republican
2020,Texas,TX,TX-02,Dan Crenshaw,Republican
2020,Texas,TX,TX-03,Van Taylor,Republican
2020,Texas,TX,TX-04,Pat Fallon,Republican
2020,Texas,TX,TX-05,Lance Gooden,Republican
2020,Texas,TX,TX-06,Ron Wright,Republican
2020,Texas,TX,TX-07,Lizzie Fletcher,Democrat
2020,Texas,TX,TX-08,Kevin Brady,Republican
2020,Texas,TX,TX-09,Al Green,Democrat
2020,Texas,TX,TX-10,Michael T Mccaul,Republican
2020,Texas,TX,TX-11,August Pfluger,Republican
2020,Texas,TX,TX-12,Kay Granger,Republican
2020,Texas,TX,TX-13,Ronny Jackson,Republican
2020,Texas,TX,TX-14,Randy K Weber Sr,Republican
2020,Texas,TX,TX-15,Vicente Gonzalez,Democrat
2020,Texas,TX,TX-16,Veronica Escobar,Democrat
2020,Texas,TX,TX-17,Pete Sessions,Republican
2020,Texas,TX,TX-18,Sheila Jackson Lee,Democrat
2020,Texas,TX,TX-19,Jodey C Arrington,Republican
2020,Texas,TX,TX-20,Joaquin Castro,Democrat
2020,Texas,TX,TX-21,Chip Roy,Republican
2020,Texas,TX,TX-22,Troy Nehls,Republican
2020,Texas,TX,TX-23,Tony Gonzales,Republican
2020,Texas,TX,TX-24,Beth Van Duyne,Republican
2020,Texas,TX,TX-25,Roger Williams,Republican
2020,Texas,TX,TX-26,Michael C Burgess,Republican
2020,Texas,TX,TX-27,Michael Cloud,Republican
2020,Texas,TX,TX-28,Henry Cuellar,Democrat
2020,Texas,TX,TX-29,Sylvia R Garcia,Democrat
2020,Texas,TX,TX-30,Eddie Bernice Johnson,Democrat
2020,Texas,TX,TX-31,John R Carter,Republican
2020,Texas,TX,TX-32,Colin Z Allred,Democrat
2020,Texas,TX,TX-33,Marc A Veasey,Democrat
2020,Texas,TX,TX-34,Filemon Vela,Democrat
2020,Texas,TX,TX-35,Lloyd Doggett,Democrat
2020,Texas,TX,TX-36,Brian Babin,Republican
2020,Utah,UT,UT-01,Blake David Moore,Republican
2020,Utah,UT,UT-02,Chris Stewart,Republican
2020,Utah,UT,UT-03,John R Curtis,Republican
2020,Utah,UT,UT-04,Burgess Owens,Republican
2020,Virginia,VA,VA-01,Robert J Wittman,Republican
2020,Virginia,VA,VA-02,Elaine G Luria,Democrat
2020,Virginia,VA,VA-03,"Robert C \""Bobby\"" Scott",Democrat
2020,Virginia,VA,VA-04,A Donald Mceachin,Democrat
2020,Virginia,VA,VA-05,"Robert G \""Bob\"" Good",Republican
2020,Virginia,VA,VA-06,Ben Cline,Republican
2020,Virginia,VA,VA-07,Abigail Davis Spanberger,Democrat
2020,Virginia,VA,VA-08,Donald S Beyer Jr,Democrat
2020,Virginia,VA,VA-09,H Morgan Griffith,Republican
2020,Virginia,VA,VA-10,Jennifer Wexton,Democrat
2020,Virginia,VA,VA-11,Gerald E Connolly,Democrat
2020,Vermont,VT,VT-00,Peter Welch,Democrat
2020,Washington,WA,WA-01,Suzan K Delbene,Democrat
2020,Washington,WA,WA-02,Rick Larsen,Democrat
2020,Washington,WA,WA-03,Jaime Herrera Beutler,Republican
2020,Washington,WA,WA-04,Dan Newhouse,Republican
2020,Washington,WA,WA-05,Cathy Mcmorris Rodgers,Republican
2020,Washington,WA,WA-06,Derek Kilmer,Democrat
2020,Washington,WA,WA-07,Pramila Jayapal,Democrat
2020,Washington,WA,WA-08,Kim Schrier,Democrat
2020,Washington,WA,WA-09,Adam Smith,Democrat
2020,Washington,WA,WA-10,Marilyn Strickland,Democrat
2020,Wisconsin,WI,WI-01,Bryan Steil,Republican
2020,Wisconsin,WI,WI-02,Mark Pocan,Democrat
2020,Wisconsin,WI,WI-03,Ron Kind,Democrat
2020,Wisconsin,WI,WI-04,Gwen Moore,Democrat
2020,Wisconsin,WI,WI-05,Scott Fitzgerald,Republican
2020,Wisconsin,WI,WI-06,Glenn Grothman,Republican
2020,Wisconsin,WI,WI-07,Thomas P Tiffany,Republican
2020,Wisconsin,WI,WI-08,Mike Gallagher,Republican
2020,West Virginia,WV,WV-01,David B Mckinley,Republican
2020,West Virginia,WV,WV-02,Alexander X Mooney,Republican
2020,West Virginia,WV,WV-03,Carol D Miller,Republican
2020,Wyoming,WY,WY-00,Liz Cheney,Republican
2022,Alaska,AK,AK-00,Mary Sattler Peltola,Democrat
2022,Alabama,AL,AL-01,Jerry L Carl,Republican
2022,Alabama,AL,AL-02,Barry Moore,Republican
2022,Alabama,AL,AL-03,Mike Rogers,Republican
2022,Alabama,AL,AL-04,Robert B Aderholt,Republican
2022,Alabama,AL,AL-05,Dale Strong,Republican
2022,Alabama,AL,AL-06,Gary J Palmer,Republican
2022,Alabama,AL,AL-07,Terri A Sewell,Democrat
2022,Arkansas,AR,AR-01,Eric A ÂRickâ Crawford,Republican
2022,Arkansas,AR,AR-02,J French Hill,Republican
2022,Arkansas,AR,AR-03,Steve Womack,Republican
2022,Arkansas,AR,AR-04,Bruce Westerman,Republican
2022,Arizona,AZ,AZ-01,David Schweikert,Republican
2022,Arizona,AZ,AZ-02,Eli Crane,Republican
2022,Arizona,AZ,AZ-03,Ruben Gallego,Democrat
2022,Arizona,AZ,AZ-04,Greg Stanton,Democrat
2022,Arizona,AZ,AZ-05,Andy Biggs,Republican
2022,Arizona,AZ,AZ-06,Juan Ciscomani,Republican
2022,Arizona,AZ,AZ-07,RaãL M Grijalva,Democrat
2022,Arizona,AZ,AZ-08,Debbie Lesko,Republican
2022,Arizona,AZ,AZ-09,Paul Gosar,Republican
2022,California,CA,CA-01,Doug Lamalfa,Republican
2022,California,CA,CA-02,Jared Huffman,Democrat
2022,California,CA,CA-03,Kevin Kiley,Republican
2022,California,CA,CA-04,Mike Thompson,Democrat
2022,California,CA,CA-05,Tom Mcclintock,Republican
2022,California,CA,CA-06,Ami Bera,Democrat
2022,California,CA,CA-07,Doris O Matsui,Democrat
2022,California,CA,CA-08,John Garamendi,Democrat
2022,California,CA,CA-09,Josh Harder,Democrat
2022,California,CA,CA-10,Mark Desaulnier,Democrat
2022,California,CA,CA-11,Nancy Pelosi,Democrat
2022,California,CA,CA-12,Barbara Lee,Democrat
2022,California,CA,CA-13,John Duarte,Republican
2022,California,CA,CA-14,Eric Swalwell,Democrat
2022,California,CA,CA-15,Kevin Mullin,Democrat
2022,California,CA,CA-16,Anna G Eshoo,Democrat
2022,California,CA,CA-17,Ro Khanna,Democrat
2022,California,CA,CA-18,Zoe Lofgren,Democrat
